Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
1066,YK-W11E-RWTE-DO,,,,,,,,YK,35,9
1067,YK-W11E-RTE-DO,,,,,,,,YK,35,10
1068,YK-W11E-RRE-DO,,,,,,,,YK,35,11
1069,YK-W21C-BE-DO,,,,,,,,YK,35,12
1070,YK-W21C-LE-DO,,,,,,,,YK,35,13
1071,YK-W21C-NWE-DO,,,,,,,,YK,35,14
1072,YK-W21C-NWTE-DO,,,,,,,,YK,35,15
1073,YK-W21C-NTE-DO,,,,,,,,YK,36,0
1074,YK-W21C-NRE-DO,,,,,,,,YK,36,1
1075,YK-W21C-RWE-DO,,,,,,,,YK,36,2
1076,YK-W21C-RWTE-DO,,,,,,,,YK,36,3
1077,YK-W21C-RTE-DO,,,,,,,,YK,36,4
1078,YK-W21C-RRE-DO,,,,,,,,YK,36,5
1079,YK-W21D-BE-DO,,,,,,,,YK,36,6
1080,YK-W21D-LE-DO,,,,,,,,YK,36,7
1081,YK-W21D-NWE-DO,,,,,,,,YK,36,8
1082,YK-W21D-NWTE-DO,,,,,,,,YK,36,9
1083,YK-W21D-NTE-DO,,,,,,,,YK,36,10
1084,YK-W21D-NRE-DO,,,,,,,,YK,36,11
1085,YK-W21D-RWE-DO,,,,,,,,YK,36,12
1086,YK-W21D-RWTE-DO,,,,,,,,YK,36,13
1087,YK-W21D-RTE-DO,,,,,,,,YK,36,14
1088,YK-W21D-RRE-DO,,,,,,,,YK,36,15
1089,YK-W41A-BE-DO,,,,,,,,YK,37,0
1090,YK-W41A-LE-DO,,,,,,,,YK,37,1
1091,YK-W41A-NWE-DO,,,,,,,,YK,37,2
1092,YK-W41A-NWTE-DO,,,,,,,,YK,37,3
1093,YK-W41A-NTE-DO,,,,,,,,YK,37,4
1094,YK-W41A-NRE-DO,,,,,,,,YK,37,5
1095,YK-W41A-RWE-DO,,,,,,,,YK,37,6
1096,YK-W41A-RWTE-DO,,,,,,,,YK,37,7
1097,YK-W41A-RTE-DO,,,,,,,,YK,37,8
1098,YK-W41A-RRE-DO,,,,,,,,YK,37,9
1099,YK-W41B-BE-DO,,,,,,,,YK,37,10
1100,YK-W41B-LE-DO,,,,,,,,YK,37,11
1101,YK-W41B-NWE-DO,,,,,,,,YK,37,12
1102,YK-W41B-NWTE-DO,,,,,,,,YK,37,13
1103,YK-W41B-NTE-DO,,,,,,,,YK,37,14
1104,YK-W41B-NRE-DO,,,,,,,,YK,37,15
1105,YK-W41B-RWE-DO,,,,,,,,YK,38,0
1106,YK-W41B-RWTE-DO,,,,,,,,YK,38,1
1107,YK-W41B-RTE-DO,,,,,,,,YK,38,2
1108,YK-W41B-RRE-DO,,,,,,,,YK,38,3
1109,YK-W51-BE-DO,,,,,,,,YK,38,4
1110,YK-W51-LE-DO,,,,,,,,YK,38,5
1111,YK-W51-NWE-DO,,,,,,,,YK,38,6
1112,YK-W51-NWTE-DO,,,,,,,,YK,38,7
1113,YK-W51-NTE-DO,,,,,,,,YK,38,8
1114,YK-W51-NRE-DO,,,,,,,,YK,38,9
1115,YK-W51-RWE-DO,,,,,,,,YK,38,10
1116,YK-W51-RWTE-DO,,,,,,,,YK,38,11
1117,YK-W51-RTE-DO,,,,,,,,YK,38,12
1118,YK-W51-RRE-DO,,,,,,,,YK,38,13
1119,YK-W61-BE-DO,,,,,,,,YK,38,14
1120,YK-W61-LE-DO,,,,,,,,YK,38,15
1121,YK-W61-NWE-DO,,,,,,,,YK,39,0
1122,YK-W61-NWTE-DO,,,,,,,,YK,39,1
1123,YK-W61-NTE-DO,,,,,,,,YK,39,2
1124,YK-W61-NRE-DO,,,,,,,,YK,39,3
1125,YK-W61-RWE-DO,,,,,,,,YK,39,4
1126,YK-W61-RWTE-DO,,,,,,,,YK,39,5
1127,YK-W61-RTE-DO,,,,,,,,YK,39,6
1128,YK-W61-RRE-DO,,,,,,,,YK,39,7
1129,YK-W81A-BE-DO,,,,,,,,YK,39,8
1130,YK-W81A-LE-DO,,,,,,,,YK,39,9
1131,YK-W81A-NWE-DO,,,,,,,,YK,39,10
1132,YK-W81A-NWTE-DO,,,,,,,,YK,39,11
1133,YK-W81A-NTE-DO,,,,,,,,YK,39,12
1134,YK-W81A-NRE-DO,,,,,,,,YK,39,13
1135,YK-W81A-RWE-DO,,,,,,,,YK,39,14
1136,YK-W81A-RWTE-DO,,,,,,,,YK,39,15
1137,YK-W81A-RTE-DO,,,,,,,,YK,40,0
1138,YK-W81A-RRE-DO,,,,,,,,YK,40,1
1139,YK-W71-BE-DO,,,,,,,,YK,40,2
1140,YK-W71-LE-DO,,,,,,,,YK,40,3
1141,YK-W71-NWE-DO,,,,,,,,YK,40,4
1142,YK-W71-NWTE-DO,,,,,,,,YK,40,5
1143,YK-W71-NTE-DO,,,,,,,,YK,40,6
1144,YK-W71-NRE-DO,,,,,,,,YK,40,7
1145,YK-W71-RWE-DO,,,,,,,,YK,40,8
1146,YK-W71-RWTE-DO,,,,,,,,YK,40,9
